8796597190657;8796606988289;8797523214955;bundleTemplates;;true
8796593487873;8796602564609;8797195010667;bundleTemplates;;true
8796595978241;8796605480961;8797419340395;bundleTemplates;;true
8796593848321;8796602925057;8797228237419;bundleTemplates;;true
8796594307073;8796603580417;8797255565931;bundleTemplates;;true
8796596568065;8796606300161;8797479535211;bundleTemplates;;true
8796596305921;8796605874177;8797436052075;bundleTemplates;;true
8796595716097;8796605153281;8797421077099;bundleTemplates;;true
8796594077697;8796603252737;8797282566763;bundleTemplates;;true
8796592537601;8796601352193;8797137502827;bundleTemplates;;true
8796593618945;8796602957825;8797223060075;bundleTemplates;;true
8796592439297;8796601876481;8797139632747;bundleTemplates;;true
8796600434689;8796611051521;8797980656235;bundleTemplates;;true
8796593061889;8796602335233;8797164765803;bundleTemplates;;true
8796593029121;8796602040321;8797162603115;bundleTemplates;;true
8796127500453;8796128581797;8798582375019;allDocuments,bundleSelectionCriteria,changeProductPriceBundleRules,disableProductBundleRules,assignedCockpitItemTemplates,childTemplates,dependentBundleTemplates,products,requiredBundleTemplates,status;;true
