2025-05-12 12:10:32.229 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.c.SolrResourceLoader Added 13 libs to classloader, from paths: [/home/paulograbin/Hybris/hybris-commerce-suite-2211.38/hybris/bin/modules/search-and-navigation/solrserver/resources/solr/9.7/server/modules/analysis-extras/lib, /home/paulograbin/Hybris/hybris-commerce-suite-2211.38/hybris/bin/modules/search-and-navigation/solrserver/resources/solr/9.7/server/modules/hybris/lib]
2025-05-12 12:10:32.253 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.11.0
2025-05-12 12:10:32.256 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.11.0
2025-05-12 12:10:32.263 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.11.0
2025-05-12 12:10:32.315 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.s.IndexSchema Schema name=default
2025-05-12 12:10:32.315 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.s.IndexSchema Schema name=default
2025-05-12 12:10:32.316 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.s.IndexSchema Schema name=default
2025-05-12 12:10:32.328 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2025-05-12 12:10:32.519 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-05-12 12:10:32.594 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/it
2025-05-12 12:10:32.594 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/it
2025-05-12 12:10:32.594 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/it
2025-05-12 12:10:32.596 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/it
2025-05-12 12:10:32.596 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/it
2025-05-12 12:10:32.596 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/it
2025-05-12 12:10:32.596 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/it
2025-05-12 12:10:32.596 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/it
2025-05-12 12:10:32.596 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/it
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/it
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/it
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/it
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/it
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/it
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/es
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/it
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/es
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/it
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/es
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/es
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/es_co
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/it
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/es
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/it
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/es
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/es
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/es_co
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/es
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/es
2025-05-12 12:10:32.597 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/es_co
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/es_co
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/es_co
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/es_co
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/es_co
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/es_co
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/es_co
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/zh
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/zh
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/zh
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/zh
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/zh
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/zh
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/zh
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/zh
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/zh
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2025-05-12 12:10:32.598 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/en
2025-05-12 12:10:32.599 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:master_powertools_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/zh_tw
2025-05-12 12:10:32.600 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/zh_tw
2025-05-12 12:10:32.600 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/zh_tw
2025-05-12 12:10:32.601 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/zh_tw
2025-05-12 12:10:32.601 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/zh_tw
2025-05-12 12:10:32.601 INFO  (coreLoadExecutor-13-thread-3) [c: s: r: x:master_apparel-de_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/zh_tw
2025-05-12 12:10:32.601 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:master_apparel-uk_Product_default t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedStopFilterFactory to existing ManagedResource /schema/analysis/stopwords/zh_tw
